Date,Address,lat,lon,Killed,Injured,Content
2014-10-04,"1925 West Holt Avenue , Pomona, California",34.0617716,-117.7841086,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>1925 West Holt Avenue , Pomona, California"
2014-09-29,"29 Sandy Dam Lane, Walterboro, South Carolina",32.885248,-80.620366,1,7,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>7<br/><b>Location: </b>29 Sandy Dam Lane, Walterboro, South Carolina"
2014-09-29,"2300 block of West Fountain Way , Fresno, California",36.7813624,-119.8381184,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>2300 block of West Fountain Way , Fresno, California"
2014-09-28,"2800 block of Hope Street, Philadelphia, Pennsylvania",39.9926538,-75.1312117,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>2800 block of Hope Street, Philadelphia, Pennsylvania"
2014-09-28,"NW 7th Ave and NW 64th Street, Miami, Florida",25.8341404,-80.2085914,0,15,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>15<br/><b>Location: </b>NW 7th Ave and NW 64th Street, Miami, Florida"
2014-09-27,"2000 block East John Avenue, Saint Louis, Missouri",38.6716819,-90.209797,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>2000 block East John Avenue, Saint Louis, Missouri"
2014-09-26,"600 block of Turner Road, Darlington County, South Carolina",34.3649897,-80.0087746,1,4,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>4<br/><b>Location: </b>600 block of Turner Road, Darlington County, South Carolina"
2014-09-21,"440 First St, East Liverpool, Ohio",40.6308212,-80.5519752,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>440 First St, East Liverpool, Ohio"
2014-09-20,"8297 Curtis Rd, Batesville, Mississippi",34.3399627,-90.0523771,2,2,"<b>Date: </b>NA<br/><b>Killed: </b>2<br/><b>Injured: </b>2<br/><b>Location: </b>8297 Curtis Rd, Batesville, Mississippi"
2014-09-19,"32-14 106th St, Queens, New York",40.75929,-73.863359,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>32-14 106th St, Queens, New York"
2014-09-18,"NW 30th Street and NW 39th Terrace, Bell, Florida",29.7817113,-82.8493452,8,0,"<b>Date: </b>NA<br/><b>Killed: </b>8<br/><b>Injured: </b>0<br/><b>Location: </b>NW 30th Street and NW 39th Terrace, Bell, Florida"
2014-09-15,"Chef Menteur Highway and Dale Street, New Orleans, Louisiana",30.011068,-90.009742,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>Chef Menteur Highway and Dale Street, New Orleans, Louisiana"
2014-09-14,"229 Naval Air Station Drive, Flour Bluff, Texas",27.6771593,-97.2758381,3,1,"<b>Date: </b>NA<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>229 Naval Air Station Drive, Flour Bluff, Texas"
2014-09-14,"225 E Fifth, Anchorage, Alaska",61.2177897,-149.8801505,0,6,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>225 E Fifth, Anchorage, Alaska"
2014-09-11,"14000 block of Patton, Detroit, Michigan",42.387662,-83.24284,1,7,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>7<br/><b>Location: </b>14000 block of Patton, Detroit, Michigan"
2014-09-06,"2015 Orange Blossom Trail, Orlando, Florida",28.5204997,-81.3965152,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>2015 Orange Blossom Trail, Orlando, Florida"
2014-09-06,"576 Poplar Street, Macon, Georgia",32.8347541,-83.6299795,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>576 Poplar Street, Macon, Georgia"
2014-09-04,"2400 block of Martin Luther King Boulevard, Flint, Michigan",43.0384242,-83.704113,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>2400 block of Martin Luther King Boulevard, Flint, Michigan"
2014-09-03,"East 27th and Stanford , Los Angeles, California",34.0198906,-118.260077,0,6,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>East 27th and Stanford , Los Angeles, California"
2014-09-02,"25000 block of Fifth Street , Highland, California",34.1086831,-117.2587614,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>25000 block of Fifth Street , Highland, California"
2014-09-02,"3622 Medgar Evers Boulevard, Jackson, Mississippi",32.3405229,-90.2140529,2,3,"<b>Date: </b>NA<br/><b>Killed: </b>2<br/><b>Injured: </b>3<br/><b>Location: </b>3622 Medgar Evers Boulevard, Jackson, Mississippi"
2014-08-31,"200 block of South Q Street , Livermore, California",37.6783362,-121.777052,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>200 block of South Q Street , Livermore, California"
2014-08-29,"820 Peach St, Brooksville, Florida",28.5459012,-82.3908868,3,1,"<b>Date: </b>NA<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>820 Peach St, Brooksville, Florida"
2014-08-27,"16600 block of Edmore, Detroit, Michigan",42.4473187,-82.9484543,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>16600 block of Edmore, Detroit, Michigan"
2014-08-24,"8300 block of South Halsted Street, Chicago, Illinois",41.7432106,-87.6443353,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>8300 block of South Halsted Street, Chicago, Illinois"
