Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
13-Jan-15,Virginia,Portsmouth,4100 block of Portsmouth Boulevard,0,5,N/A
11-Jan-15,North Carolina,Hope Mills,1900 block of Gumberry Road,2,5,N/A
11-Jan-15,Florida,Lakeland,7665 Chase Road,1,3,N/A
11-Jan-15,California,San Jose,3840 Monterey Hwy,0,5,N/A
10-Jan-15,Kansas,Wichita,4859 E Harry Street,2,2,N/A
9-Jan-15,California,San Francisco,Laguna St and Page St,4,0,N/A
8-Jan-15,Massachusetts,Boston,104 Harrishof Street,1,3,N/A
7-Jan-15,Tennessee,Chattanooga,773 West Main Street,1,3,N/A
6-Jan-15,Florida,Miami,1300 block of NW 62nd Street,1,3,N/A
4-Jan-15,Virginia,Roanoke,3634 Shenandoah Ave NW,2,4,N/A
4-Jan-15,Texas,Dallas,2000 block of Ben Hur St.,3,1,N/A
2-Jan-15,Georgia,Savannah,500 block of W. 54th Street,1,4,N/A
1-Jan-15,Tennessee,Memphis,Interstate 240 and Poplar Avenue,0,5,N/A
